* [https://www.spinics.net/lists/openconnect/msg05139.html][PATCH] Add Keychain support, Yoshimasa Niwa
+ [https://www.spinics.net/lists/openconnect/msg04712.html][PATCH 1/5] add missing OC_PROTO_CSD flag to GP protocol, Daniel Lenski
+ [https://www.spinics.net/lists/openconnect/msg04715.html][PATCH 2/5] include openconnect_get_protocol method for completeness, Daniel Lenski
+ [https://www.spinics.net/lists/openconnect/msg04717.html][PATCH 3/5] add getProtocol, setProtocol, getSupportedProtocols, and VPNProto to Java bindings, Daniel Lenski
+ [https://www.spinics.net/lists/openconnect/msg04714.html][PATCH 4/5] fix segfault in Java library test application, Daniel Lenski
+ [https://www.spinics.net/lists/openconnect/msg04713.html][PATCH 5/5] describe and set protocol in Java test application, Daniel Lenski
+ [https://www.spinics.net/lists/openconnect/msg04718.html][PATCH 6/5] Use waitpid() in a portable fashion, Daniel Lenski
* [https://www.spinics.net/lists/openconnect/msg04705.html][PATCH 0/2] make Juniper connection start faster, Daniel Lenski
+ [https://www.spinics.net/lists/openconnect/msg04706.html][PATCH 1/2] Reduce unnecessary connection-rebuilding for Juniper, Daniel Lenski
+ [https://www.spinics.net/lists/openconnect/msg04707.html][PATCH 2/2] Remove first oNCP negotiation request (only second is necessary), Daniel Lenski
o [https://www.spinics.net/lists/openconnect/msg04962.html][PATCH 1/2] Tolerate packets that are larger than negotiated MTU after decompression, Daniel Lenski
# [https://www.spinics.net/lists/openconnect/msg04961.html][PATCH 2/2] Align naming and commenting of mechanism for receiving oversize packets across protocols, Daniel Lenski
* [https://www.spinics.net/lists/openconnect/msg04994.html][PATCH] Add --no-logout option for cookie re-use, Robin H. Johnson
+ [https://www.spinics.net/lists/openconnect/msg04995.html][PATCH] Add --no-logout option for cookie re-use, David Woodhouse
o [https://www.spinics.net/lists/openconnect/msg04996.html][PATCH] Add --no-logout option for cookie re-use, Robin H. Johnson
* [https://www.spinics.net/lists/openconnect/msg04989.html][PATCH] Always write pid-file, regardless of backgrounding, Robin H. Johnson
* [https://www.spinics.net/lists/openconnect/msg05068.html][PATCH] Include --csd-wrapper script in openconnect arguments, Daniel Lenski
+ [https://www.spinics.net/lists/openconnect/msg04975.html][PATCH] Include --csd-wrapper script in openconnect arguments, Daniel Lenski
o [https://www.spinics.net/lists/openconnect/msg04976.html][PATCH] Clarify multi-protocol nature of recent versions of openconnect, Daniel Lenski
o [https://www.spinics.net/lists/openconnect/msg05069.html][PATCH] fix typo in Juniper TOTP form name, Daniel Lenski
* [https://www.spinics.net/lists/openconnect/msg04691.html][PATCH] fix memory leak in Juniper logout function (caught with valgrind), Daniel Lenski
* [https://www.spinics.net/lists/openconnect/msg04690.html][PATCH] move sending of ONCP control packets for enabling/disabling ESP into oncp.c, Daniel Lenski
* [https://www.spinics.net/lists/openconnect/msg04688.html][PATCH 0/1] vpnc-script output on win32, Ľubomír Carik
+ [https://www.spinics.net/lists/openconnect/msg04689.html][PATCH 1/1] Apply application logging approach for vpnc-script output, Ľubomír Carik
o [https://www.spinics.net/lists/openconnect/msg05067.html][PATCH 1/1] Apply application logging approach for vpnc-script output, David Woodhouse
* [https://www.spinics.net/lists/openconnect/msg04652.html][PATCH] Allow specifying server in configuration file, Max Rees
+ [https://www.spinics.net/lists/openconnect/msg04653.html][PATCH] Allow specifying server in configuration file, Daniel Lenski
o [https://www.spinics.net/lists/openconnect/msg04654.html][PATCH] Allow specifying server in configuration file, Max Rees
# [https://www.spinics.net/lists/openconnect/msg04655.html][PATCH] Allow specifying server in configuration file, Daniel Lenski
@ [https://www.spinics.net/lists/openconnect/msg04656.html][PATCH] Allow specifying server in configuration file, David Woodhouse
- [https://www.spinics.net/lists/openconnect/msg04657.html][PATCH v2] Allow specifying server in configuration file, Max Rees
= [https://www.spinics.net/lists/openconnect/msg04677.html][PATCH v2] Allow specifying server in configuration file, Daniel Lenski
= [https://www.spinics.net/lists/openconnect/msg05065.html][PATCH v2] Allow specifying server in configuration file, David Woodhouse
* [https://www.spinics.net/lists/openconnect/msg05053.html][PATCH] check for oversize ESP packets, with 256 bytes of headroom above calculated MTU, Dan Lenski
+ [https://www.spinics.net/lists/openconnect/msg05054.html][PATCH] check for oversize ESP packets, with 256 bytes of headroom above calculated MTU, Daniel Lenski
* [https://www.spinics.net/lists/openconnect/msg04810.html][PATCH] Make it easy to decline resolv.conf updates, Daniel Kahn Gillmor
+ [https://www.spinics.net/lists/openconnect/msg04820.html][PATCH] Make it easy to decline resolv.conf updates, David Woodhouse
o [https://www.spinics.net/lists/openconnect/msg04822.html][PATCH] Make it easy to decline resolv.conf updates, Daniel Kahn Gillmor
# [https://www.spinics.net/lists/openconnect/msg04823.html][PATCH] Make it easy to decline resolv.conf updates, Mike Miller
* [https://www.spinics.net/lists/openconnect/msg04803.html][PATCH 0/3] MinGW app improvements, Ľubomír Carik
+ [https://www.spinics.net/lists/openconnect/msg04804.html][PATCH 1/3] Solve few fall-trough warnings, Ľubomír Carik
o [https://www.spinics.net/lists/openconnect/msg04811.html][PATCH 1/3] Solve few fall-trough warnings, David Woodhouse
# [https://www.spinics.net/lists/openconnect/msg04812.html][PATCH 1/3] Solve few fall-trough warnings, Ľubomír Carik
@ [https://www.spinics.net/lists/openconnect/msg04813.html][PATCH 1/3] Solve few fall-trough warnings, David Woodhouse
+ [https://www.spinics.net/lists/openconnect/msg04836.html][PATCH 2/3] Windows application icon, Ľubomír Carik
o [https://www.spinics.net/lists/openconnect/msg04837.html][PATCH 2/3] Windows application icon, Ľubomír Carik
+ [https://www.spinics.net/lists/openconnect/msg04805.html][PATCH 3/3] Require administrator privileges (UAC), Ľubomír Carik
o [https://www.spinics.net/lists/openconnect/msg04807.html][PATCH 3/3] Require administrator privileges (UAC), Rondom at rondom.de
# [https://www.spinics.net/lists/openconnect/msg04808.html][PATCH 3/3] Require administrator privileges (UAC), Ľubomír Carik
@ [https://www.spinics.net/lists/openconnect/msg04809.html][PATCH 3/3] Require administrator privileges (UAC), Ľubomír Carik
+ [https://www.spinics.net/lists/openconnect/msg04821.html][PATCH 0/3] MinGW app improvements, David Woodhouse
* [https://www.spinics.net/lists/openconnect/msg04795.html][PATCH v3 0/3] [vpnc-scripts] Support for Pulse's split-exclude routes, Gernot Hillier
+ [https://www.spinics.net/lists/openconnect/msg04796.html][PATCH v3 1/3] Support split-exclude rules from Pulse gateway, Gernot Hillier
o [https://www.spinics.net/lists/openconnect/msg04800.html][PATCH v3 1/3] Support split-exclude rules from Pulse gateway, Kevin Cernekee
# [https://www.spinics.net/lists/openconnect/msg04801.html][PATCH v3 1/3] Support split-exclude rules from Pulse gateway, Gernot Hillier
# [https://www.spinics.net/lists/openconnect/msg04802.html][PATCH v3 1/3] Support split-exclude rules from Pulse gateway, Gernot Hillier
+ [https://www.spinics.net/lists/openconnect/msg04797.html][PATCH v3 2/3] Revive route cleanup for /sbin/route code, Gernot Hillier
+ [https://www.spinics.net/lists/openconnect/msg04798.html][PATCH v3 3/3] Support routes with different devs and gateways, Gernot Hillier
+ [https://www.spinics.net/lists/openconnect/msg04819.html][PATCH v3 0/3] [vpnc-scripts] Support for Pulse's split-exclude routes, David Woodhouse
o [https://www.spinics.net/lists/openconnect/msg04829.html][PATCH v3 0/3] [vpnc-scripts] Support for Pulse's split-exclude routes, Gernot Hillier
# [https://www.spinics.net/lists/openconnect/msg04832.html][PATCH v3 0/3] [vpnc-scripts] Support for Pulse's split-exclude routes, David Woodhouse
* [https://www.spinics.net/lists/openconnect/msg04793.html][PATCH V2 ocserv] Hash the peer's DTLS IP separately from its CSTP IP, Kevin Cernekee
+ [https://www.spinics.net/lists/openconnect/msg04794.html][PATCH V2 ocserv] Hash the peer's DTLS IP separately from its CSTP IP, Nikos Mavrogiannopoulos
* [https://www.spinics.net/lists/openconnect/msg04895.html][PATCH V2 ocserv] Set AGENT_OPENCONNECT for Java/Android clients, Kevin Cernekee
+ [https://www.spinics.net/lists/openconnect/msg04896.html][PATCH V2 ocserv] Set AGENT_OPENCONNECT for Java/Android clients, Nikos Mavrogiannopoulos
* [https://www.spinics.net/lists/openconnect/msg04894.html][PATCH ocserv] Set AGENT_OPENCONNECT for Java/Android clients, Kevin Cernekee
* [https://www.spinics.net/lists/openconnect/msg04857.html][PATCH 00/10] GPST patches, trying again, Daniel Lenski
+ [https://www.spinics.net/lists/openconnect/msg04859.html][PATCH 01/10] Unfortunately, xmlNodeGetContent can't be avoided, Daniel Lenski
+ [https://www.spinics.net/lists/openconnect/msg04866.html][PATCH 02/10] Add buf_append_xmlescaped() and use it to build GP XML config, Daniel Lenski
+ [https://www.spinics.net/lists/openconnect/msg04863.html][PATCH 03/10] Clean up dodgy query-string building in gpst.c, Daniel Lenski
+ [https://www.spinics.net/lists/openconnect/msg04865.html][PATCH 04/10] Add support for checking and submitting HIP reports, Daniel Lenski
+ [https://www.spinics.net/lists/openconnect/msg04864.html][PATCH 05/10] Use ka_check_deadline() to simplify gpst_mainloop() and esp_mainloop() timers, Daniel Lenski
+ [https://www.spinics.net/lists/openconnect/msg04867.html][PATCH 06/10] Improve GPST/ESP not-stepping-on-toes tap dance, Daniel Lenski
+ [https://www.spinics.net/lists/openconnect/msg04862.html][PATCH 07/10] Fix a really subtle bug causing 100% CPU utilization after ESP tunnel failure, and subsequent reconnect, Daniel Lenski
+ [https://www.spinics.net/lists/openconnect/msg04861.html][PATCH 08/10] Add support for tunnel-based rekey for GlobalProtect, Daniel Lenski
+ [https://www.spinics.net/lists/openconnect/msg04858.html][PATCH 09/10] Use ESP replay protection with GlobalProtect, Daniel Lenski
+ [https://www.spinics.net/lists/openconnect/msg04860.html][PATCH 10/10] Fix compilation without HAVE_ESP, and conditionally compile more functions that are only used for ESP, Daniel Lenski
+ [https://www.spinics.net/lists/openconnect/msg04872.html][PATCH 11/10] properly handle alternate GPST tunnel path, Daniel Lenski
