* [https://www.spinics.net/lists/linux-soc/msg07293.html][PATCH] soc: qcom: msm_bus: initialize cldata->handle field, Lu Shuaibing
o [https://www.spinics.net/lists/linux-soc/msg07277.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Johannes Berg
o [https://www.spinics.net/lists/linux-soc/msg07280.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Alex Elder
o [https://www.spinics.net/lists/linux-soc/msg07287.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Johannes Berg
o [https://www.spinics.net/lists/linux-soc/msg07245.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Johannes Berg
o [https://www.spinics.net/lists/linux-soc/msg07268.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Alex Elder
o [https://www.spinics.net/lists/linux-soc/msg07240.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Alex Elder
o [https://www.spinics.net/lists/linux-soc/msg07246.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Johannes Berg
o [https://www.spinics.net/lists/linux-soc/msg07250.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Arnd Bergmann
o [https://www.spinics.net/lists/linux-soc/msg07251.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Johannes Berg
o [https://www.spinics.net/lists/linux-soc/msg07252.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Arnd Bergmann
o [https://www.spinics.net/lists/linux-soc/msg07254.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Johannes Berg
o [https://www.spinics.net/lists/linux-soc/msg07257.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Arnd Bergmann
o [https://www.spinics.net/lists/linux-soc/msg07263.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Dan Williams
o [https://www.spinics.net/lists/linux-soc/msg07269.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Alex Elder
o [https://www.spinics.net/lists/linux-soc/msg07273.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Arnd Bergmann
o [https://www.spinics.net/lists/linux-soc/msg07278.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Johannes Berg
o [https://www.spinics.net/lists/linux-soc/msg07281.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Alex Elder
o [https://www.spinics.net/lists/linux-soc/msg07284.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Arnd Bergmann
o [https://www.spinics.net/lists/linux-soc/msg07286.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Johannes Berg
o [https://www.spinics.net/lists/linux-soc/msg07285.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Johannes Berg
o [https://www.spinics.net/lists/linux-soc/msg07283.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Alex Elder
o [https://www.spinics.net/lists/linux-soc/msg07235.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Johannes Berg
o [https://www.spinics.net/lists/linux-soc/msg07239.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Alex Elder
o [https://www.spinics.net/lists/linux-soc/msg07241.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Arnd Bergmann
o [https://www.spinics.net/lists/linux-soc/msg07247.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Johannes Berg
o [https://www.spinics.net/lists/linux-soc/msg07249.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Arnd Bergmann
o [https://www.spinics.net/lists/linux-soc/msg07253.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Johannes Berg
o [https://www.spinics.net/lists/linux-soc/msg07255.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Arnd Bergmann
o [https://www.spinics.net/lists/linux-soc/msg07256.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Johannes Berg
o [https://www.spinics.net/lists/linux-soc/msg07258.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Subash Abhinov Kasiviswanathan
o [https://www.spinics.net/lists/linux-soc/msg07259.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Arnd Bergmann
o [https://www.spinics.net/lists/linux-soc/msg07262.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Subash Abhinov Kasiviswanathan
o [https://www.spinics.net/lists/linux-soc/msg07264.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Dan Williams
o [https://www.spinics.net/lists/linux-soc/msg07270.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Alex Elder
o [https://www.spinics.net/lists/linux-soc/msg07237.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Johannes Berg
o [https://www.spinics.net/lists/linux-soc/msg07242.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Alex Elder
o [https://www.spinics.net/lists/linux-soc/msg07248.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Johannes Berg
o [https://www.spinics.net/lists/linux-soc/msg07271.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Alex Elder
* [https://www.spinics.net/lists/linux-soc/msg07168.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Dan Williams
- [https://www.spinics.net/lists/linux-soc/msg07169.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Dan Williams
= [https://www.spinics.net/lists/linux-soc/msg07170.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Alex Elder
* [https://www.spinics.net/lists/linux-soc/msg07171.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Dan Williams
+ [https://www.spinics.net/lists/linux-soc/msg07172.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Subash Abhinov Kasiviswanathan
o [https://www.spinics.net/lists/linux-soc/msg07175.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Dan Williams
@ [https://www.spinics.net/lists/linux-soc/msg07163.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Bjorn Andersson
+ [https://www.spinics.net/lists/linux-soc/msg07213.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Alex Elder
+ [https://www.spinics.net/lists/linux-soc/msg07272.html]WWAN Controller Framework (was IPA [PATCH v2 00/17]), Alex Elder
o [https://www.spinics.net/lists/linux-soc/msg07274.html]Re: WWAN Controller Framework (was IPA [PATCH v2 00/17]), Alex Elder
# [https://www.spinics.net/lists/linux-soc/msg07279.html]Re: WWAN Controller Framework (was IPA [PATCH v2 00/17]), Johannes Berg
@ [https://www.spinics.net/lists/linux-soc/msg07282.html]Re: WWAN Controller Framework (was IPA [PATCH v2 00/17]), Alex Elder
- [https://www.spinics.net/lists/linux-soc/msg07288.html]Re: WWAN Controller Framework (was IPA [PATCH v2 00/17]), Johannes Berg
o [https://www.spinics.net/lists/linux-soc/msg07275.html]Re: WWAN Controller Framework (was IPA [PATCH v2 00/17]), Dan Williams
# [https://www.spinics.net/lists/linux-soc/msg07276.html]Re: WWAN Controller Framework (was IPA [PATCH v2 00/17]), Alex Elder
* [https://www.spinics.net/lists/linux-soc/msg07129.html][PATCH v2 0/2] Add support for display port clocks and clock ops, Taniya Das
+ [https://www.spinics.net/lists/linux-soc/msg07130.html][PATCH v2 1/2] clk: qcom: rcg2: Add support for display port clock ops, Taniya Das
o [https://www.spinics.net/lists/linux-soc/msg07298.html]Re: [PATCH v2 1/2] clk: qcom: rcg2: Add support for display port clock ops, Stephen Boyd
+ [https://www.spinics.net/lists/linux-soc/msg07131.html][PATCH v2 2/2] clk: qcom : dispcc: Add support for display port clocks, Taniya Das
o [https://www.spinics.net/lists/linux-soc/msg07297.html]Re: [PATCH v2 2/2] clk: qcom : dispcc: Add support for display port clocks, Stephen Boyd
* [https://www.spinics.net/lists/linux-soc/msg07117.html][PATCH v1 0/3] clk: qcom: Misc updates for Root Clock Generators, Taniya Das
+ [https://www.spinics.net/lists/linux-soc/msg07118.html][PATCH v1 1/3] clk: qcom: rcg: Return failure for RCG update, Taniya Das
o [https://www.spinics.net/lists/linux-soc/msg07301.html]Re: [PATCH v1 1/3] clk: qcom: rcg: Return failure for RCG update, Stephen Boyd
+ [https://www.spinics.net/lists/linux-soc/msg07119.html][PATCH v1 2/3] clk: qcom: rcg2: Add support for hardware control mode, Taniya Das
o [https://www.spinics.net/lists/linux-soc/msg07300.html]Re: [PATCH v1 2/3] clk: qcom: rcg2: Add support for hardware control mode, Stephen Boyd
# [https://www.spinics.net/lists/linux-soc/msg07303.html]Re: [PATCH v1 2/3] clk: qcom: rcg2: Add support for hardware control mode, Taniya Das
@ [https://www.spinics.net/lists/linux-soc/msg07305.html]Re: [PATCH v1 2/3] clk: qcom: rcg2: Add support for hardware control mode, Stephen Boyd
+ [https://www.spinics.net/lists/linux-soc/msg07120.html][PATCH v1 3/3] clk: qcom: rcg: update the DFS macro for RCG, Taniya Das
o [https://www.spinics.net/lists/linux-soc/msg07121.html]Re: [PATCH v1 3/3] clk: qcom: rcg: update the DFS macro for RCG, Stephen Boyd
# [https://www.spinics.net/lists/linux-soc/msg07122.html]Re: [PATCH v1 3/3] clk: qcom: rcg: update the DFS macro for RCG, Taniya Das
@ [https://www.spinics.net/lists/linux-soc/msg07124.html]Re: [PATCH v1 3/3] clk: qcom: rcg: update the DFS macro for RCG, Stephen Boyd
- [https://www.spinics.net/lists/linux-soc/msg07125.html]Re: [PATCH v1 3/3] clk: qcom: rcg: update the DFS macro for RCG, Taniya Das
= [https://www.spinics.net/lists/linux-soc/msg07299.html]Re: [PATCH v1 3/3] clk: qcom: rcg: update the DFS macro for RCG, Stephen Boyd
* [https://www.spinics.net/lists/linux-soc/msg07304.html]Re: [PATCH v1 3/3] clk: qcom: rcg: update the DFS macro for RCG, Taniya Das
+ [https://www.spinics.net/lists/linux-soc/msg07306.html]Re: [PATCH v1 3/3] clk: qcom: rcg: update the DFS macro for RCG, Stephen Boyd
* [https://www.spinics.net/lists/linux-soc/msg07103.html][PATCH v1 0/2] drivers: qcom: Fixes in RPMh driver, Raju P.L.S.S.S.N
+ [https://www.spinics.net/lists/linux-soc/msg07104.html][PATCH v1 1/2] drivers: qcom: rpmh: avoid sending sleep/wake sets immediately, Raju P.L.S.S.S.N
+ [https://www.spinics.net/lists/linux-soc/msg07105.html][PATCH v1 2/2] drivers: soc: qcom: rpmh-rsc: Correct check for slot number, Raju P.L.S.S.S.N
o [https://www.spinics.net/lists/linux-soc/msg07106.html]Re: [PATCH v1 2/2] drivers: soc: qcom: rpmh-rsc: Correct check for slot number, Lina Iyer
* [https://www.spinics.net/lists/linux-soc/msg07099.html][PATCH RESEND v3 0/3] add some more functionality to RPMH, Raju P.L.S.S.S.N
+ [https://www.spinics.net/lists/linux-soc/msg07100.html][PATCH RESEND v3 1/3] drivers: qcom: rpmh-rsc: simplify TCS locking, Raju P.L.S.S.S.N
+ [https://www.spinics.net/lists/linux-soc/msg07101.html][PATCH RESEND v3 2/3] drivers: qcom: rpmh-rsc: return if the controller is idle, Raju P.L.S.S.S.N
o [https://www.spinics.net/lists/linux-soc/msg07110.html]Re: [PATCH RESEND v3 2/3] drivers: qcom: rpmh-rsc: return if the controller is idle, Stephen Boyd
# [https://www.spinics.net/lists/linux-soc/msg07111.html]Re: [PATCH RESEND v3 2/3] drivers: qcom: rpmh-rsc: return if the controller is idle, Lina Iyer
@ [https://www.spinics.net/lists/linux-soc/msg07112.html]Re: [PATCH RESEND v3 2/3] drivers: qcom: rpmh-rsc: return if the controller is idle, Stephen Boyd
- [https://www.spinics.net/lists/linux-soc/msg07113.html]Re: [PATCH RESEND v3 2/3] drivers: qcom: rpmh-rsc: return if the controller is idle, Lina Iyer
= [https://www.spinics.net/lists/linux-soc/msg07114.html]Re: [PATCH RESEND v3 2/3] drivers: qcom: rpmh-rsc: return if the controller is idle, Stephen Boyd
* [https://www.spinics.net/lists/linux-soc/msg07115.html]Re: [PATCH RESEND v3 2/3] drivers: qcom: rpmh-rsc: return if the controller is idle, Lina Iyer
+ [https://www.spinics.net/lists/linux-soc/msg07102.html][PATCH RESEND v3 3/3] drivers: qcom: rpmh: disallow active requests in solver mode, Raju P.L.S.S.S.N
* [https://www.spinics.net/lists/linux-soc/msg07091.html][PATCH RESEND v1 0/2] drivers/qcom: add additional functionality to RPMH, Raju P.L.S.S.S.N
+ [https://www.spinics.net/lists/linux-soc/msg07092.html][PATCH RESEND v1 2/2] drivers: qcom: rpmh: write PDC data, Raju P.L.S.S.S.N
+ [https://www.spinics.net/lists/linux-soc/msg07093.html][PATCH RESEND v1 1/2] drivers: qcom: rpmh-rsc: clear active mode configuration for wake TCS, Raju P.L.S.S.S.N
* [https://www.spinics.net/lists/linux-soc/msg07083.html]Re: [PATCH v2 06/15] clocksource/drivers/timer-milbeaut: Introduce timer for Milbeaut SoCs, Daniel Lezcano
+ [https://www.spinics.net/lists/linux-soc/msg07084.html]Re: [PATCH v2 06/15] clocksource/drivers/timer-milbeaut: Introduce timer for Milbeaut SoCs, Arnd Bergmann
o [https://www.spinics.net/lists/linux-soc/msg07087.html]Re: [PATCH v2 06/15] clocksource/drivers/timer-milbeaut: Introduce timer for Milbeaut SoCs, Sugaya, Taichi
# [https://www.spinics.net/lists/linux-soc/msg07088.html]Re: [PATCH v2 06/15] clocksource/drivers/timer-milbeaut: Introduce timer for Milbeaut SoCs, Arnd Bergmann
