* [https://www.spinics.net/lists/arm-kernel/msg741994.html][PATCH] rqchip/stm32: Remove unneeded call to kfree, Hariprasad Kelam
+ [https://www.spinics.net/lists/arm-kernel/msg741790.html][PATCH 3/3] dt-bindings: dsp: fsl: Add DSP core binding support, Daniel Baluta
o [https://www.spinics.net/lists/arm-kernel/msg741812.html]Re: [PATCH 3/3] dt-bindings: dsp: fsl: Add DSP core binding support, Rob Herring
# [https://www.spinics.net/lists/arm-kernel/msg741842.html]Re: [PATCH 3/3] dt-bindings: dsp: fsl: Add DSP core binding support, Daniel Baluta
@ [https://www.spinics.net/lists/arm-kernel/msg741846.html]Re: [PATCH 3/3] dt-bindings: dsp: fsl: Add DSP core binding support, Leonard Crestez
- [https://www.spinics.net/lists/arm-kernel/msg741897.html]Re: [PATCH 3/3] dt-bindings: dsp: fsl: Add DSP core binding support, Daniel Baluta
+ [https://www.spinics.net/lists/arm-kernel/msg741901.html]Re: [PATCH 0/3] Add DSP node on i.MX8QXP board, Marco Felsch
o [https://www.spinics.net/lists/arm-kernel/msg741906.html]Re: [PATCH 0/3] Add DSP node on i.MX8QXP board, Daniel Baluta
* [https://www.spinics.net/lists/arm-kernel/msg741784.html][PATCH] arm64: dts: renesas: r8a77965: sort nodes, Yoshihiro Kaneko
* [https://www.spinics.net/lists/arm-kernel/msg741783.html][PATCH] arm64: dts: renesas: r8a7795-es1: sort nodes node, Yoshihiro Kaneko
* [https://www.spinics.net/lists/arm-kernel/msg741782.html][PATCH] arm64: dts: renesas: r8a7795: sort nodes, Yoshihiro Kaneko
* [https://www.spinics.net/lists/arm-kernel/msg741771.html][PATCH v2 0/9] Exynos Adaptive Supply Voltage support, Sylwester Nawrocki
o [https://www.spinics.net/lists/arm-kernel/msg741772.html][PATCH v2 1/9] soc: samsung: Add exynos chipid driver support, Sylwester Nawrocki
o [https://www.spinics.net/lists/arm-kernel/msg741773.html][PATCH v2 2/9] soc: samsung: Convert exynos-chipid driver to use the regmap API, Sylwester Nawrocki
o [https://www.spinics.net/lists/arm-kernel/msg741774.html][PATCH v2 4/9] ARM: EXYNOS: enable exynos_chipid for ARCH_EXYNOS, Sylwester Nawrocki
o [https://www.spinics.net/lists/arm-kernel/msg741775.html][PATCH v2 3/9] soc: samsung: Add Exynos Adaptive Supply Voltage driver, Sylwester Nawrocki
o [https://www.spinics.net/lists/arm-kernel/msg741776.html][PATCH v2 6/9] ARM: EXYNOS: Enable exynos-asv driver for ARCH_EXYNOS, Sylwester Nawrocki
o [https://www.spinics.net/lists/arm-kernel/msg741777.html][PATCH v2 5/9] ARM64: EXYNOS: enable exynos_chipid for ARCH_EXYNOS, Sylwester Nawrocki
o [https://www.spinics.net/lists/arm-kernel/msg741778.html][PATCH v2 8/9] ARM: dts: Add "syscon" compatible string to chipid node, Sylwester Nawrocki
o [https://www.spinics.net/lists/arm-kernel/msg741779.html][PATCH v2 7/9] soc: samsung: Update the CHIP ID DT binding documentation, Sylwester Nawrocki
o [https://www.spinics.net/lists/arm-kernel/msg741781.html][PATCH v2 9/9] ARM: dts: Add samsung,asv-bin property for odroidxu3-lite, Sylwester Nawrocki
* [https://www.spinics.net/lists/arm-kernel/msg741762.html][PATCH v2] serial: 8250-mtk: modify mtk uart power and clock management, Changqi Hu
* [https://www.spinics.net/lists/arm-kernel/msg741759.html][PATCH v1] ubifs: support page statistics in vmstat, Stanley Chu
* [https://www.spinics.net/lists/arm-kernel/msg741748.html][PATCH v2 0/3] Add power domain range for MU13 side b / IRQSTR_DSP, Daniel Baluta
+ [https://www.spinics.net/lists/arm-kernel/msg741749.html][PATCH v2 1/3] firmware: imx: scu-pd: Rename mu PD range to mu_a, Daniel Baluta
+ [https://www.spinics.net/lists/arm-kernel/msg741750.html][PATCH v2 2/3] firmware: imx: scu-pd: Add mu13 b side PD range, Daniel Baluta
o [https://www.spinics.net/lists/arm-kernel/msg741758.html]RE: [PATCH v2 2/3] firmware: imx: scu-pd: Add mu13 b side PD range, Aisheng Dong
+ [https://www.spinics.net/lists/arm-kernel/msg741751.html][PATCH v2 3/3] firmware: imx: scu-pd: Add IRQSTR_DSP PD range, Daniel Baluta
* [https://www.spinics.net/lists/arm-kernel/msg741746.html][PATCH 1/2] arm64: dts: ls1028a: Fix GPIO work fail., Hui Song
+ [https://www.spinics.net/lists/arm-kernel/msg741747.html][PATCH 2/2] gpio: mpc8xxx: Add ls1028a device specify function., Hui Song
* [https://www.spinics.net/lists/arm-kernel/msg741740.html][PATCH 1/4] ARM: dts: imx6sx: move GIC to right location in DT, Anson . Huang
+ [https://www.spinics.net/lists/arm-kernel/msg741739.html][PATCH 2/4] ARM: dts: imx6sl: move GIC to right location in DT, Anson . Huang
+ [https://www.spinics.net/lists/arm-kernel/msg741741.html][PATCH 3/4] ARM: dts: imx6ul: move GIC to right location in DT, Anson . Huang
+ [https://www.spinics.net/lists/arm-kernel/msg741742.html][PATCH 4/4] ARM: dts: imx6sll: move GIC to right location in DT, Anson . Huang
* [https://www.spinics.net/lists/arm-kernel/msg741727.html][PATCH] firmware: imx: Add DSP IPC protocol interface, Daniel Baluta
* [https://www.spinics.net/lists/arm-kernel/msg741726.html][PATCH v2] KVM: arm/arm64: Introduce kvm_pmu_vcpu_init() to setup PMU counter idx, Zenghui Yu
* [https://www.spinics.net/lists/arm-kernel/msg741723.html][PATCH v1 0/2] AUXADC: support efuse calibration on MT818, Zhiyong Tao
+ [https://www.spinics.net/lists/arm-kernel/msg741721.html][PATCH v1 1/2] arm64: dts: mt8183: auxadc: add efuse information in device tree, Zhiyong Tao
+ [https://www.spinics.net/lists/arm-kernel/msg741722.html][PATCH v1 2/2] auxadc: mediatek: support efuse calibration in auxadc driver, Zhiyong Tao
* [https://www.spinics.net/lists/arm-kernel/msg741713.html][RFC PATCH] regulator: core: Move device_link_remove out from regulator_list_mutex, Yong Wu
* [https://www.spinics.net/lists/arm-kernel/msg741699.html][PATCH 0/3] arm64: kprobes: Fix some bugs in arm64 kprobes, Masami Hiramatsu
+ [https://www.spinics.net/lists/arm-kernel/msg741700.html][PATCH 1/3] arm64: kprobes: Recover pstate.D in single-step exception handler, Masami Hiramatsu
o [https://www.spinics.net/lists/arm-kernel/msg741925.html]Re: [PATCH 1/3] arm64: kprobes: Recover pstate.D in single-step exception handler, James Morse
+ [https://www.spinics.net/lists/arm-kernel/msg741701.html][PATCH 2/3] arm64: unwind: Prohibit probing on return_address(), Masami Hiramatsu
+ [https://www.spinics.net/lists/arm-kernel/msg741702.html][PATCH 3/3] arm64: debug: Remove rcu_read_lock from debug exception, Masami Hiramatsu
o [https://www.spinics.net/lists/arm-kernel/msg741710.html]Re: [PATCH 3/3] arm64: debug: Remove rcu_read_lock from debug exception, Paul E. McKenney
# [https://www.spinics.net/lists/arm-kernel/msg741738.html]Re: [PATCH 3/3] arm64: debug: Remove rcu_read_lock from debug exception, Mark Rutland
@ [https://www.spinics.net/lists/arm-kernel/msg741780.html]Re: [PATCH 3/3] arm64: debug: Remove rcu_read_lock from debug exception, Masami Hiramatsu
- [https://www.spinics.net/lists/arm-kernel/msg741912.html]Re: [PATCH 3/3] arm64: debug: Remove rcu_read_lock from debug exception, James Morse
- [https://www.spinics.net/lists/arm-kernel/msg741923.html]Re: [PATCH 3/3] arm64: debug: Remove rcu_read_lock from debug exception, Mark Rutland
* [https://www.spinics.net/lists/arm-kernel/msg741674.html][PATCH] pwm: mxs: use devm_platform_ioremap_resource() to simplify code, Anson . Huang
+ [https://www.spinics.net/lists/arm-kernel/msg741691.html]RE: [PATCH] pwm: mxs: use devm_platform_ioremap_resource() to simplify code, Aisheng Dong
* [https://www.spinics.net/lists/arm-kernel/msg741666.html][PATCH 2/3 v4] ARM: dts: aspeed: Add SGPIO driver, Hongwei Zhang
+ [https://www.spinics.net/lists/arm-kernel/msg741675.html]Re: [PATCH 2/3 v4] ARM: dts: aspeed: Add SGPIO driver, Andrew Jeffery
* [https://www.spinics.net/lists/arm-kernel/msg741660.html][PATCH RFC 14/18] HACK: pinctrl: bcm2835: Implement legacy pull for BCM7211, Stefan Wahren
+ [https://www.spinics.net/lists/arm-kernel/msg741659.html][PATCH RFC 17/18] ARM: bcm2835: Add bcm2838 compatible string, Stefan Wahren
+ [https://www.spinics.net/lists/arm-kernel/msg741661.html][PATCH RFC 16/18] dt-bindings: bcm: Add Raspberry Pi 4 B, Stefan Wahren
+ [https://www.spinics.net/lists/arm-kernel/msg741662.html][PATCH RFC 15/18] spi: bcm2835: enable shared interrupt support, Stefan Wahren
o [https://www.spinics.net/lists/arm-kernel/msg741761.html]Re: [PATCH RFC 15/18] spi: bcm2835: enable shared interrupt support, Mark Brown
# [https://www.spinics.net/lists/arm-kernel/msg741833.html]Re: [PATCH RFC 15/18] spi: bcm2835: enable shared interrupt support, Stefan Wahren
@ [https://www.spinics.net/lists/arm-kernel/msg741837.html]Re: [PATCH RFC 15/18] spi: bcm2835: enable shared interrupt support, Florian Fainelli
- [https://www.spinics.net/lists/arm-kernel/msg741841.html]Re: [PATCH RFC 15/18] spi: bcm2835: enable shared interrupt support, Stefan Wahren
@ [https://www.spinics.net/lists/arm-kernel/msg741849.html]Re: [PATCH RFC 15/18] spi: bcm2835: enable shared interrupt support, Mark Brown
+ [https://www.spinics.net/lists/arm-kernel/msg741663.html][PATCH RFC 18/18] ARM: dts: Add minimal Raspberry Pi 4 support, Stefan Wahren
o [https://www.spinics.net/lists/arm-kernel/msg741664.html]Re: [PATCH RFC 18/18] ARM: dts: Add minimal Raspberry Pi 4 support, Florian Fainelli
# [https://www.spinics.net/lists/arm-kernel/msg741667.html]Re: [PATCH RFC 18/18] ARM: dts: Add minimal Raspberry Pi 4 support, Stefan Wahren
* [https://www.spinics.net/lists/arm-kernel/msg741654.html][PATCH 2/3 v4] dt-bindings: gpio: aspeed: Add SGPIO support, Hongwei Zhang
+ [https://www.spinics.net/lists/arm-kernel/msg741678.html]Re: [PATCH 2/3 v4] dt-bindings: gpio: aspeed: Add SGPIO support, Andrew Jeffery
* [https://www.spinics.net/lists/arm-kernel/msg741651.html][PATCH RFC 00/18] ARM: Add minimal Raspberry Pi 4 support, Stefan Wahren
+ [https://www.spinics.net/lists/arm-kernel/msg741640.html][PATCH RFC 05/18] ARM: dts: bcm283x: Define memory at board level, Stefan Wahren
+ [https://www.spinics.net/lists/arm-kernel/msg741641.html][PATCH RFC 03/18] ARM: dts: bcm283x: Move BCM2835/6/7 specific to bcm2835-common.dtsi, Stefan Wahren
+ [https://www.spinics.net/lists/arm-kernel/msg741642.html][PATCH RFC 12/18] dt-bindings: pinctrl: bcm2835: Add brcm, bcm2838 compatible, Stefan Wahren
+ [https://www.spinics.net/lists/arm-kernel/msg741643.html][PATCH RFC 13/18] pinctrl: bcm2835: Add BCM2838 support, Stefan Wahren
+ [https://www.spinics.net/lists/arm-kernel/msg741644.html][PATCH RFC 09/18] mmc: sdhci-iproc: Add support for emmc2 of the BCM2838, Stefan Wahren
o [https://www.spinics.net/lists/arm-kernel/msg741730.html]Re: [PATCH RFC 09/18] mmc: sdhci-iproc: Add support for emmc2 of the BCM2838, Matthias Brugger
# [https://www.spinics.net/lists/arm-kernel/msg741813.html]Re: [PATCH RFC 09/18] mmc: sdhci-iproc: Add support for emmc2 of the BCM2838, Florian Fainelli
@ [https://www.spinics.net/lists/arm-kernel/msg741816.html]Re: [PATCH RFC 09/18] mmc: sdhci-iproc: Add support for emmc2 of the BCM2838, Matthias Brugger
