* [https://www.spinics.net/lists/linux-watchdog/msg16226.html][PATCH] watchdog:alim1535_wdt: Fix data race in ali_settimer() concerning ali_timeout_bits variable. variable., Mark Balantzyan
* [https://www.spinics.net/lists/linux-watchdog/msg16100.html][PATCH v2 0/4] JZ4740 watchdog cleanups, Paul Cercueil
+ [https://www.spinics.net/lists/linux-watchdog/msg16101.html][PATCH v2 3/4] watchdog: jz4740: Drop dependency on MACH_JZ47xx, Paul Cercueil
+ [https://www.spinics.net/lists/linux-watchdog/msg16102.html][PATCH v2 1/4] watchdog: jz4740: Use register names from <linux/mfd/ingenic-tcu.h>, Paul Cercueil
+ [https://www.spinics.net/lists/linux-watchdog/msg16103.html][PATCH v2 4/4] watchdog: jz4740: Make probe function __init_or_module, Paul Cercueil
o [https://www.spinics.net/lists/linux-watchdog/msg16105.html]Re: [PATCH v2 4/4] watchdog: jz4740: Make probe function __init_or_module, Guenter Roeck
o [https://www.spinics.net/lists/linux-watchdog/msg16115.html]Re: [PATCH v2 4/4] watchdog: jz4740: Make probe function __init_or_module, Christophe Leroy
# [https://www.spinics.net/lists/linux-watchdog/msg16117.html]Re: [PATCH v2 4/4] watchdog: jz4740: Make probe function __init_or_module, Paul Cercueil
@ [https://www.spinics.net/lists/linux-watchdog/msg16129.html]Re: [PATCH v2 4/4] watchdog: jz4740: Make probe function __init_or_module, Christophe Leroy
- [https://www.spinics.net/lists/linux-watchdog/msg16130.html]Re: [PATCH v2 4/4] watchdog: jz4740: Make probe function __init_or_module, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg16104.html][PATCH v2 2/4] watchdog: jz4740: Avoid starting watchdog in set_timeout, Paul Cercueil
* [https://www.spinics.net/lists/linux-watchdog/msg16084.html][PATCH v10 0/3] watchdog: allow setting deadline for opening /dev/watchdogN, Rasmus Villemoes
+ [https://www.spinics.net/lists/linux-watchdog/msg16086.html][PATCH v10 1/3] watchdog: introduce watchdog.open_timeout commandline parameter, Rasmus Villemoes
o [https://www.spinics.net/lists/linux-watchdog/msg16111.html]Re: [PATCH v10 1/3] watchdog: introduce watchdog.open_timeout commandline parameter, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg16087.html][PATCH v10 2/3] watchdog: introduce CONFIG_WATCHDOG_OPEN_TIMEOUT, Rasmus Villemoes
o [https://www.spinics.net/lists/linux-watchdog/msg16112.html]Re: [PATCH v10 2/3] watchdog: introduce CONFIG_WATCHDOG_OPEN_TIMEOUT, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg16085.html][PATCH v10 3/3] watchdog: make the device time out at open_deadline when open_timeout is used, Rasmus Villemoes
o [https://www.spinics.net/lists/linux-watchdog/msg16110.html]Re: [PATCH v10 3/3] watchdog: make the device time out at open_deadline when open_timeout is used, Guenter Roeck
# [https://www.spinics.net/lists/linux-watchdog/msg16143.html]Re: [PATCH v10 3/3] watchdog: make the device time out at open_deadline when open_timeout is used, Rasmus Villemoes
@ [https://www.spinics.net/lists/linux-watchdog/msg16144.html]Re: [PATCH v10 3/3] watchdog: make the device time out at open_deadline when open_timeout is used, Guenter Roeck
@ [https://www.spinics.net/lists/linux-watchdog/msg16152.html]Re: [PATCH v10 3/3] watchdog: make the device time out at open_deadline when open_timeout is used, Wim Van Sebroeck
* [https://www.spinics.net/lists/linux-watchdog/msg16070.html][PATCH v2] watchdog: renesas_wdt: Add a few cycles delay, Yoshihiro Shimoda
+ [https://www.spinics.net/lists/linux-watchdog/msg16072.html]Re: [PATCH v2] watchdog: renesas_wdt: Add a few cycles delay, Wolfram Sang
o [https://www.spinics.net/lists/linux-watchdog/msg16076.html]RE: [PATCH v2] watchdog: renesas_wdt: Add a few cycles delay, Yoshihiro Shimoda
+ [https://www.spinics.net/lists/linux-watchdog/msg16073.html]Re: [PATCH v2] watchdog: renesas_wdt: Add a few cycles delay, Niklas Söderlund
o [https://www.spinics.net/lists/linux-watchdog/msg16077.html]RE: [PATCH v2] watchdog: renesas_wdt: Add a few cycles delay, Yoshihiro Shimoda
* [https://www.spinics.net/lists/linux-watchdog/msg16067.html][PATCH] watchdog: renesas_wdt: Add a few cycles delay, Yoshihiro Shimoda
+ [https://www.spinics.net/lists/linux-watchdog/msg16068.html]Re: [PATCH] watchdog: renesas_wdt: Add a few cycles delay, Geert Uytterhoeven
o [https://www.spinics.net/lists/linux-watchdog/msg16069.html]RE: [PATCH] watchdog: renesas_wdt: Add a few cycles delay, Yoshihiro Shimoda
# [https://www.spinics.net/lists/linux-watchdog/msg16071.html]Re: [PATCH] watchdog: renesas_wdt: Add a few cycles delay, Geert Uytterhoeven
@ [https://www.spinics.net/lists/linux-watchdog/msg16075.html]RE: [PATCH] watchdog: renesas_wdt: Add a few cycles delay, Yoshihiro Shimoda
+ [https://www.spinics.net/lists/linux-watchdog/msg16078.html][PATCH] watchdog: renesas_wdt: Add a few cycles delay, Yoshihiro Shimoda
o [https://www.spinics.net/lists/linux-watchdog/msg16079.html]RE: [PATCH] watchdog: renesas_wdt: Add a few cycles delay, Yoshihiro Shimoda
o [https://www.spinics.net/lists/linux-watchdog/msg16109.html]Re: [PATCH v3] watchdog: renesas_wdt: Add a few cycles delay, Guenter Roeck
# [https://www.spinics.net/lists/linux-watchdog/msg16138.html]Re: [PATCH v3] watchdog: renesas_wdt: Add a few cycles delay, Simon Horman
* [https://www.spinics.net/lists/linux-watchdog/msg16066.html][PATCH AUTOSEL 5.0 068/173] watchdog: Use depends instead of select for pretimeout governors, Sasha Levin
* [https://www.spinics.net/lists/linux-watchdog/msg16065.html][PATCH AUTOSEL 5.0 069/173] watchdog: imx2_wdt: Fix set_timeout for big timeout values, Sasha Levin
* [https://www.spinics.net/lists/linux-watchdog/msg16064.html][PATCH AUTOSEL 4.19 056/141] watchdog: imx2_wdt: Fix set_timeout for big timeout values, Sasha Levin
* [https://www.spinics.net/lists/linux-watchdog/msg16063.html][PATCH AUTOSEL 4.19 055/141] watchdog: Use depends instead of select for pretimeout governors, Sasha Levin
* [https://www.spinics.net/lists/linux-watchdog/msg16062.html][PATCH AUTOSEL 4.14 37/99] watchdog: Use depends instead of select for pretimeout governors, Sasha Levin
* [https://www.spinics.net/lists/linux-watchdog/msg16061.html][PATCH AUTOSEL 4.14 38/99] watchdog: imx2_wdt: Fix set_timeout for big timeout values, Sasha Levin
* [https://www.spinics.net/lists/linux-watchdog/msg16060.html][PATCH AUTOSEL 4.9 30/74] watchdog: imx2_wdt: Fix set_timeout for big timeout values, Sasha Levin
* [https://www.spinics.net/lists/linux-watchdog/msg16059.html][PATCH AUTOSEL 4.9 29/74] watchdog: Use depends instead of select for pretimeout governors, Sasha Levin
* [https://www.spinics.net/lists/linux-watchdog/msg16058.html][PATCH AUTOSEL 5.1 074/186] watchdog: imx2_wdt: Fix set_timeout for big timeout values, Sasha Levin
* [https://www.spinics.net/lists/linux-watchdog/msg16057.html][PATCH AUTOSEL 5.1 073/186] watchdog: Use depends instead of select for pretimeout governors, Sasha Levin
* [https://www.spinics.net/lists/linux-watchdog/msg16051.html][PATCH] watchdog: gpio: add support for nowayout option, Mans Rullgard
+ [https://www.spinics.net/lists/linux-watchdog/msg16052.html]Re: [PATCH] watchdog: gpio: add support for nowayout option, Guenter Roeck
* [https://www.spinics.net/lists/linux-watchdog/msg16045.html][PATCH V4 RESEND 1/3] dt-bindings: watchdog: move i.MX system controller watchdog binding to SCU, Anson . Huang
+ [https://www.spinics.net/lists/linux-watchdog/msg16046.html][PATCH V4 RESEND 3/3] watchdog: imx_sc: Add pretimeout support, Anson . Huang
+ [https://www.spinics.net/lists/linux-watchdog/msg16047.html][PATCH V4 RESEND 2/3] arm64: dts: imx8qxp: Move watchdog node into scu node, Anson . Huang
+ [https://www.spinics.net/lists/linux-watchdog/msg16118.html]Re: [PATCH V4 RESEND 1/3] dt-bindings: watchdog: move i.MX system controller watchdog binding to SCU, Guenter Roeck
* [https://www.spinics.net/lists/linux-watchdog/msg16039.html][PATCH v5 0/4] Allwinner H6 watchdog support, Clément Péron
+ [https://www.spinics.net/lists/linux-watchdog/msg16035.html][PATCH v5 2/4] arm64: dts: allwinner: h6: add watchdog node, Clément Péron
+ [https://www.spinics.net/lists/linux-watchdog/msg16036.html][PATCH v5 4/4] arm64: defconfig: enable sunxi watchdog, Clément Péron
+ [https://www.spinics.net/lists/linux-watchdog/msg16037.html][PATCH v5 3/4] arm64: dts: allwinner: h6: add r_watchog node, Clément Péron
+ [https://www.spinics.net/lists/linux-watchdog/msg16038.html][PATCH v5 1/4] dt-bindings: watchdog: add Allwinner H6 watchdog, Clément Péron
o [https://www.spinics.net/lists/linux-watchdog/msg16044.html]Re: [PATCH v5 1/4] dt-bindings: watchdog: add Allwinner H6 watchdog, Rob Herring
o [https://www.spinics.net/lists/linux-watchdog/msg16107.html]Re: [PATCH v5 1/4] dt-bindings: watchdog: add Allwinner H6 watchdog, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg16042.html]Re: [PATCH v5 0/4] Allwinner H6 watchdog support, Maxime Ripard
* [https://www.spinics.net/lists/linux-watchdog/msg16028.html][PATCH] watchdog: renesas_wdt: Fix interrupt enable for timer, Nguyen An Hoan
+ [https://www.spinics.net/lists/linux-watchdog/msg16029.html][PATCH] watchdog: renesas_wdt: Use 'dev' instead of dereferencing it repeatedly, Nguyen An Hoan
o [https://www.spinics.net/lists/linux-watchdog/msg16031.html]Re: [PATCH] watchdog: renesas_wdt: Use 'dev' instead of dereferencing it repeatedly, Wolfram Sang
# [https://www.spinics.net/lists/linux-watchdog/msg16049.html]Re: [PATCH] watchdog: renesas_wdt: Use 'dev' instead of dereferencing it repeatedly, Guenter Roeck
o [https://www.spinics.net/lists/linux-watchdog/msg16050.html]Re: [PATCH] watchdog: renesas_wdt: Use 'dev' instead of dereferencing it repeatedly, Geert Uytterhoeven
o [https://www.spinics.net/lists/linux-watchdog/msg16106.html]Re: [PATCH] watchdog: renesas_wdt: Use 'dev' instead of dereferencing it repeatedly, Guenter Roeck
# [https://www.spinics.net/lists/linux-watchdog/msg16139.html]Re: [PATCH] watchdog: renesas_wdt: Use 'dev' instead of dereferencing it repeatedly, Simon Horman
+ [https://www.spinics.net/lists/linux-watchdog/msg16030.html]Re: [PATCH] watchdog: renesas_wdt: Fix interrupt enable for timer, Wolfram Sang
o [https://www.spinics.net/lists/linux-watchdog/msg16032.html]Re: [PATCH] watchdog: renesas_wdt: Fix interrupt enable for timer, Geert Uytterhoeven
o [https://www.spinics.net/lists/linux-watchdog/msg16040.html]Re: [PATCH] watchdog: renesas_wdt: Fix interrupt enable for timer, "グェン・アン・ホァン"
# [https://www.spinics.net/lists/linux-watchdog/msg16041.html]RE: [PATCH] watchdog: renesas_wdt: Fix interrupt enable for timer, Yoshihiro Shimoda
* [https://www.spinics.net/lists/linux-watchdog/msg16023.html][PATCH v4 0/5] Allwinner H6 watchdog support, Clément Péron
+ [https://www.spinics.net/lists/linux-watchdog/msg16018.html][PATCH v4 1/5] dt-bindings: watchdog: add Allwinner H6 watchdog, Clément Péron
+ [https://www.spinics.net/lists/linux-watchdog/msg16019.html][PATCH v4 2/5] arm64: dts: allwinner: h6: add watchdog node, Clément Péron
+ [https://www.spinics.net/lists/linux-watchdog/msg16020.html][PATCH v4 3/5] dt-bindings: watchdog: add Allwinner H6 r_watchdog, Clément Péron
o [https://www.spinics.net/lists/linux-watchdog/msg16025.html]Re: [PATCH v4 3/5] dt-bindings: watchdog: add Allwinner H6 r_watchdog, Maxime Ripard
# [https://www.spinics.net/lists/linux-watchdog/msg16027.html]Re: [PATCH v4 3/5] dt-bindings: watchdog: add Allwinner H6 r_watchdog, Clément Péron
@ [https://www.spinics.net/lists/linux-watchdog/msg16033.html]Re: [PATCH v4 3/5] dt-bindings: watchdog: add Allwinner H6 r_watchdog, Maxime Ripard
- [https://www.spinics.net/lists/linux-watchdog/msg16034.html]Re: [PATCH v4 3/5] dt-bindings: watchdog: add Allwinner H6 r_watchdog, Clément Péron
+ [https://www.spinics.net/lists/linux-watchdog/msg16021.html][PATCH v4 4/5] arm64: dts: allwinner: h6: add r_watchog node, Clément Péron
+ [https://www.spinics.net/lists/linux-watchdog/msg16022.html][PATCH v4 5/5] arm64: defconfig: enable sunxi watchdog, Clément Péron
* [https://www.spinics.net/lists/linux-watchdog/msg16017.html][PATCH 1/4] watchdog: jz4740: Use register names from <linux/mfd/ingenic-tcu.h>, Paul Cercueil
+ [https://www.spinics.net/lists/linux-watchdog/msg16014.html][PATCH 2/4] watchdog: jz4740: Avoid starting watchdog in set_timeout, Paul Cercueil
o [https://www.spinics.net/lists/linux-watchdog/msg16054.html]Re: [PATCH 2/4] watchdog: jz4740: Avoid starting watchdog in set_timeout, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg16015.html][PATCH 4/4] watchdog: jz4740: Switch to SPDX license identifier, Paul Cercueil
o [https://www.spinics.net/lists/linux-watchdog/msg16056.html]Re: [PATCH 4/4] watchdog: jz4740: Switch to SPDX license identifier, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg16016.html][PATCH 3/4] watchdog: jz4740: Drop dependency on MACH_JZ47xx, Paul Cercueil
o [https://www.spinics.net/lists/linux-watchdog/msg16055.html]Re: [PATCH 3/4] watchdog: jz4740: Drop dependency on MACH_JZ47xx, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg16053.html]Re: [PATCH 1/4] watchdog: jz4740: Use register names from <linux/mfd/ingenic-tcu.h>, Guenter Roeck
