* [https://www.spinics.net/lists/linux-pm/msg28520.html][PATCH] tracing: Remove unused clock events, Steven Rostedt
o [https://www.spinics.net/lists/linux-pm/msg28467.html]Re: [RFC PATCH 4/5] thermal: cpu_cooling: Release the upper cooling limit checks, Eduardo Valentin
# [https://www.spinics.net/lists/linux-pm/msg28474.html]Re: [RFC PATCH 4/5] thermal: cpu_cooling: Release the upper cooling limit checks, amit daniel kachhap
+ [https://www.spinics.net/lists/linux-pm/msg28481.html][RFC PATCH 5/5] ACPI: thermal: processor: Use the generic cpufreq infrastructure, Amit Daniel Kachhap
o [https://www.spinics.net/lists/linux-pm/msg28468.html]Re: [RFC PATCH 5/5] ACPI: thermal: processor: Use the generic cpufreq infrastructure, Eduardo Valentin
# [https://www.spinics.net/lists/linux-pm/msg28473.html]Re: [RFC PATCH 5/5] ACPI: thermal: processor: Use the generic cpufreq infrastructure, amit daniel kachhap
+ [https://www.spinics.net/lists/linux-pm/msg28455.html][PATCH 5/8] cpupower: Install recently added cpupower-idle-{set, info} manpages, Thomas Renninger
+ [https://www.spinics.net/lists/linux-pm/msg28456.html][PATCH 3/8] cpupower: Remove all manpages on make uninstall, Thomas Renninger
+ [https://www.spinics.net/lists/linux-pm/msg28457.html][PATCH 2/8] cpupower: Remove dead link to homepage, and update the targets built., Thomas Renninger
+ [https://www.spinics.net/lists/linux-pm/msg28458.html][PATCH 7/8] cpupower: cpupower info -b should return 0 on success, not the perf bias value, Thomas Renninger
+ [https://www.spinics.net/lists/linux-pm/msg28459.html][PATCH 8/8] cpupower: Remove mc and smt power aware scheduler info/settings, Thomas Renninger
+ [https://www.spinics.net/lists/linux-pm/msg28461.html][PATCH 4/8] cpupower: Introduce idle state disable-by-latency and enable-all, Thomas Renninger
+ [https://www.spinics.net/lists/linux-pm/msg28462.html][PATCH 6/8] cpupower: If root, try to load msr driver on x86 if /dev/cpu/0/msr is not avail, Thomas Renninger
+ [https://www.spinics.net/lists/linux-pm/msg28463.html][PATCH 1/8] cpupower: Rename cpufrequtils -> cpupower, and libcpufreq -> libcpupower., Thomas Renninger
+ [https://www.spinics.net/lists/linux-pm/msg28440.html][PATCH 2/2] tools cpupower: fix wrong err msg not supported vs not available, Thomas Renninger
+ [https://www.spinics.net/lists/linux-pm/msg28441.html][PATCH 1/2] tools cpupower: Add cpupower-idle-set(1) manpage, Thomas Renninger
* [https://www.spinics.net/lists/linux-pm/msg28431.html][PATCH v8 0/7] POWER/cpuidle: Generic POWERPC-BOOK3S cpuidle driver enabled for PSERIES and POWERNV platforms, Deepthi Dharwar
+ [https://www.spinics.net/lists/linux-pm/msg28432.html][PATCH v8 1/7] pseries/cpuidle: Move processor_idle.c to drivers/cpuidle., Deepthi Dharwar
+ [https://www.spinics.net/lists/linux-pm/msg28433.html][PATCH v8 3/7] pseries/cpuidle: Make pseries_idle backend driver a non-module., Deepthi Dharwar
+ [https://www.spinics.net/lists/linux-pm/msg28434.html][PATCH v8 5/7] POWER/cpuidle: Generic POWERPC-BOOK3S CPUIDLE driver supporting PSERIES., Deepthi Dharwar
+ [https://www.spinics.net/lists/linux-pm/msg28435.html][PATCH v8 6/7] POWER/cpuidle: Enable powernv cpuidle support., Deepthi Dharwar
+ [https://www.spinics.net/lists/linux-pm/msg28436.html][PATCH v8 2/7] pseries/cpuidle: Use cpuidle_register() for initialisation., Deepthi Dharwar
+ [https://www.spinics.net/lists/linux-pm/msg28437.html][PATCH v8 4/7] pseries/cpuidle: Remove MAX_IDLE_STATE macro., Deepthi Dharwar
+ [https://www.spinics.net/lists/linux-pm/msg28438.html][PATCH v8 7/7] powernv/cpuidle: Enable idle powernv cpu to call into the cpuidle framework., Deepthi Dharwar
* [https://www.spinics.net/lists/linux-pm/msg28413.html][PATCH V7 0/7] POWER/cpuidle: Generic IBM-POWER cpuidle driver enabled for PSERIES and POWERNV platforms, Deepthi Dharwar
+ [https://www.spinics.net/lists/linux-pm/msg28414.html][PATCH V7 7/7] powernv/cpuidle: Enable idle powernv cpu to call into the cpuidle framework., Deepthi Dharwar
o [https://www.spinics.net/lists/linux-pm/msg28427.html]Re: [PATCH V7 7/7] powernv/cpuidle: Enable idle powernv cpu to call into the cpuidle framework., Daniel Lezcano
+ [https://www.spinics.net/lists/linux-pm/msg28415.html][PATCH V7 1/7] pseries/cpuidle: Move processor_idle.c to drivers/cpuidle., Deepthi Dharwar
o [https://www.spinics.net/lists/linux-pm/msg28421.html]Re: [PATCH V7 1/7] pseries/cpuidle: Move processor_idle.c to drivers/cpuidle., Daniel Lezcano
+ [https://www.spinics.net/lists/linux-pm/msg28416.html][PATCH V7 2/7] pseries/cpuidle: Use cpuidle_register() for initialisation., Deepthi Dharwar
o [https://www.spinics.net/lists/linux-pm/msg28422.html]Re: [PATCH V7 2/7] pseries/cpuidle: Use cpuidle_register() for initialisation., Daniel Lezcano
+ [https://www.spinics.net/lists/linux-pm/msg28417.html][PATCH V7 6/7] POWER/cpuidle: Enable powernv cpuidle support., Deepthi Dharwar
o [https://www.spinics.net/lists/linux-pm/msg28426.html]Re: [PATCH V7 6/7] POWER/cpuidle: Enable powernv cpuidle support., Daniel Lezcano
+ [https://www.spinics.net/lists/linux-pm/msg28418.html][PATCH V7 3/7] pseries/cpuidle: Make pseries_idle backend driver a non-module., Deepthi Dharwar
o [https://www.spinics.net/lists/linux-pm/msg28423.html]Re: [PATCH V7 3/7] pseries/cpuidle: Make pseries_idle backend driver a non-module., Daniel Lezcano
+ [https://www.spinics.net/lists/linux-pm/msg28419.html][PATCH V7 4/7] pseries/cpuidle: Remove MAX_IDLE_STATE macro., Deepthi Dharwar
o [https://www.spinics.net/lists/linux-pm/msg28424.html]Re: [PATCH V7 4/7] pseries/cpuidle: Remove MAX_IDLE_STATE macro., Daniel Lezcano
+ [https://www.spinics.net/lists/linux-pm/msg28420.html][PATCH V7 5/7] POWER/cpuidle: Generic POWER CPUIDLE driver supporting PSERIES., Deepthi Dharwar
o [https://www.spinics.net/lists/linux-pm/msg28425.html]Re: [PATCH V7 5/7] POWER/cpuidle: Generic POWER CPUIDLE driver supporting PSERIES., Daniel Lezcano
# [https://www.spinics.net/lists/linux-pm/msg28428.html]Re: [PATCH V7 5/7] POWER/cpuidle: Generic POWER CPUIDLE driver supporting PSERIES., Deepthi Dharwar
@ [https://www.spinics.net/lists/linux-pm/msg28429.html]Re: [PATCH V7 5/7] POWER/cpuidle: Generic POWER CPUIDLE driver supporting PSERIES., Benjamin Herrenschmidt
- [https://www.spinics.net/lists/linux-pm/msg28430.html]Re: [PATCH V7 5/7] POWER/cpuidle: Generic POWER CPUIDLE driver supporting PSERIES., Deepthi Dharwar
* [https://www.spinics.net/lists/linux-pm/msg28403.html][PATCH V6 0/7] POWER/cpuidle: Generic IBM-POWER cpuidle driver enabled for PSERIES and POWERNV platforms, Deepthi Dharwar
+ [https://www.spinics.net/lists/linux-pm/msg28404.html][PATCH V6 1/7] pseries/cpuidle: Move processor_idle.c to drivers/cpuidle., Deepthi Dharwar
+ [https://www.spinics.net/lists/linux-pm/msg28405.html][PATCH V6 2/7] pseries/cpuidle: Use cpuidle_register() for initialisation., Deepthi Dharwar
+ [https://www.spinics.net/lists/linux-pm/msg28406.html][PATCH V6 3/7] pseries/cpuidle: Make pseries_idle backend driver a non-module., Deepthi Dharwar
+ [https://www.spinics.net/lists/linux-pm/msg28407.html][PATCH V6 4/7] pseries/cpuidle: Remove MAX_IDLE_STATE macro., Deepthi Dharwar
+ [https://www.spinics.net/lists/linux-pm/msg28408.html][PATCH V6 5/7] POWER/cpuidle: Generic POWER CPUIDLE driver supporting PSERIES., Deepthi Dharwar
+ [https://www.spinics.net/lists/linux-pm/msg28409.html][PATCH V6 6/7] POWER/cpuidle: Enable powernv cpuidle support., Deepthi Dharwar
+ [https://www.spinics.net/lists/linux-pm/msg28410.html][PATCH V6 7/7] powernv/cpuidle: Enable idle powernv cpu to call into the cpuidle framework., Deepthi Dharwar
* [https://www.spinics.net/lists/linux-pm/msg28380.html][PATCH V5 0/5] POWER/cpuidle: Generic IBM-POWER cpuidle driver enabled for PSERIES and POWERNV platforms, Deepthi Dharwar
+ [https://www.spinics.net/lists/linux-pm/msg28381.html][PATCH V5 1/5] pseries/cpuidle: Remove dependency of pseries.h file, Deepthi Dharwar
+ [https://www.spinics.net/lists/linux-pm/msg28382.html][PATCH V5 2/5] pseries: Move plpar_wrapper.h to powerpc common include/asm location., Deepthi Dharwar
+ [https://www.spinics.net/lists/linux-pm/msg28383.html][PATCH V5 3/5] POWER/cpuidle: Generic IBM-POWER backend cpuidle driver., Deepthi Dharwar
o [https://www.spinics.net/lists/linux-pm/msg28402.html]Re: [PATCH V5 3/5] POWER/cpuidle: Generic IBM-POWER backend cpuidle driver., Wang Dongsheng-B40534
# [https://www.spinics.net/lists/linux-pm/msg28389.html]Re: [PATCH V5 3/5] POWER/cpuidle: Generic IBM-POWER backend cpuidle driver., Deepthi Dharwar
# [https://www.spinics.net/lists/linux-pm/msg28390.html]Re: [PATCH V5 3/5] POWER/cpuidle: Generic IBM-POWER backend cpuidle driver., Deepthi Dharwar
+ [https://www.spinics.net/lists/linux-pm/msg28384.html][PATCH V5 4/5] POWER/cpuidle: Enable powernv cpuidle support., Deepthi Dharwar
+ [https://www.spinics.net/lists/linux-pm/msg28385.html][PATCH V5 5/5] powernv/cpuidle: Enable idle powernv cpu to call into the cpuidle framework., Deepthi Dharwar
* [https://www.spinics.net/lists/linux-pm/msg28372.html][PATCH V4 0/5] powerpc/cpuidle: Generic POWERPC cpuidle driver enabled for POWER and POWERNV platforms, Deepthi Dharwar
+ [https://www.spinics.net/lists/linux-pm/msg28371.html][PATCH V4 1/5] pseries/cpuidle: Remove dependency of pseries.h file, Deepthi Dharwar
+ [https://www.spinics.net/lists/linux-pm/msg28373.html][PATCH V4 2/5] pseries: Move plpar_wrapper.h to powerpc common include/asm location., Deepthi Dharwar
+ [https://www.spinics.net/lists/linux-pm/msg28374.html][PATCH V4 3/5] powerpc/cpuidle: Generic powerpc backend cpuidle driver., Deepthi Dharwar
o [https://www.spinics.net/lists/linux-pm/msg28401.html]Re: [PATCH V4 3/5] powerpc/cpuidle: Generic powerpc backend cpuidle driver., Bartlomiej Zolnierkiewicz
# [https://www.spinics.net/lists/linux-pm/msg28388.html]Re: [PATCH V4 3/5] powerpc/cpuidle: Generic powerpc backend cpuidle driver., Deepthi Dharwar
+ [https://www.spinics.net/lists/linux-pm/msg28375.html][PATCH V4 4/5] powerpc/cpuidle: Enable powernv cpuidle support., Deepthi Dharwar
+ [https://www.spinics.net/lists/linux-pm/msg28376.html][PATCH V4 5/5] powernv/cpuidle: Enable idle powernv cpu to call into the cpuidle framework., Deepthi Dharwar
* [https://www.spinics.net/lists/linux-pm/msg28361.html][RFC PATCH V3 0/5] powerpc/cpuidle: Generic POWERPC cpuidle driver enabled for POWER and POWERNV platforms, Deepthi Dharwar
+ [https://www.spinics.net/lists/linux-pm/msg28362.html][RFC PATCH V3 1/5] pseries/cpuidle: Remove dependency of pseries.h file, Deepthi Dharwar
+ [https://www.spinics.net/lists/linux-pm/msg28363.html][RFC PATCH V3 2/5] pseries: Move plpar_wrapper.h to powerpc common include/asm location., Deepthi Dharwar
+ [https://www.spinics.net/lists/linux-pm/msg28364.html][RFC PATCH V3 3/5] powerpc/cpuidle: Generic powerpc backend cpuidle driver., Deepthi Dharwar
o [https://www.spinics.net/lists/linux-pm/msg28400.html]Re: [RFC PATCH V3 3/5] powerpc/cpuidle: Generic powerpc backend cpuidle driver., Wang Dongsheng-B40534
# [https://www.spinics.net/lists/linux-pm/msg28367.html]Re: [RFC PATCH V3 3/5] powerpc/cpuidle: Generic powerpc backend cpuidle driver., Deepthi Dharwar
@ [https://www.spinics.net/lists/linux-pm/msg28368.html]Re: [RFC PATCH V3 3/5] powerpc/cpuidle: Generic powerpc backend cpuidle driver., Scott Wood
- [https://www.spinics.net/lists/linux-pm/msg28369.html]Re: [RFC PATCH V3 3/5] powerpc/cpuidle: Generic powerpc backend cpuidle driver., Deepthi Dharwar
= [https://www.spinics.net/lists/linux-pm/msg28370.html]Re: [RFC PATCH V3 3/5] powerpc/cpuidle: Generic powerpc backend cpuidle driver., Scott Wood
* [https://www.spinics.net/lists/linux-pm/msg28377.html]Re: [RFC PATCH V3 3/5] powerpc/cpuidle: Generic powerpc backend cpuidle driver., Deepthi Dharwar
+ [https://www.spinics.net/lists/linux-pm/msg28378.html]Re: [RFC PATCH V3 3/5] powerpc/cpuidle: Generic powerpc backend cpuidle driver., Benjamin Herrenschmidt
o [https://www.spinics.net/lists/linux-pm/msg28379.html]Re: [RFC PATCH V3 3/5] powerpc/cpuidle: Generic powerpc backend cpuidle driver., Deepthi Dharwar
+ [https://www.spinics.net/lists/linux-pm/msg28386.html]Re: [RFC PATCH V3 3/5] powerpc/cpuidle: Generic powerpc backend cpuidle driver., Scott Wood
o [https://www.spinics.net/lists/linux-pm/msg28387.html]Re: [RFC PATCH V3 3/5] powerpc/cpuidle: Generic powerpc backend cpuidle driver., Deepthi Dharwar
+ [https://www.spinics.net/lists/linux-pm/msg28365.html][RFC PATCH V3 4/5] powerpc/cpuidle: Enable powernv cpuidle support., Deepthi Dharwar
+ [https://www.spinics.net/lists/linux-pm/msg28366.html][RFC PATCH V3 5/5] powernv/cpuidle: Enable idle powernv cpu to call into the cpuidle framework., Deepthi Dharwar
* [https://www.spinics.net/lists/linux-pm/msg28323.html][PATCH 0/3] cpuidle: (powernv) cpuidle driver., Deepthi Dharwar
+ [https://www.spinics.net/lists/linux-pm/msg28321.html][PATCH 1/3] cpuidle/powernv: cpuidle backend driver for powernv, Deepthi Dharwar
o [https://www.spinics.net/lists/linux-pm/msg28325.html]Re: [PATCH 1/3] cpuidle/powernv: cpuidle backend driver for powernv, Michael Ellerman
# [https://www.spinics.net/lists/linux-pm/msg28326.html]Re: [PATCH 1/3] cpuidle/powernv: cpuidle backend driver for powernv, Deepthi Dharwar
o [https://www.spinics.net/lists/linux-pm/msg28329.html]Re: [PATCH 1/3] cpuidle/powernv: cpuidle backend driver for powernv, Daniel Lezcano
# [https://www.spinics.net/lists/linux-pm/msg28335.html]Re: [PATCH 1/3] cpuidle/powernv: cpuidle backend driver for powernv, Deepthi Dharwar
@ [https://www.spinics.net/lists/linux-pm/msg28337.html]Re: [PATCH 1/3] cpuidle/powernv: cpuidle backend driver for powernv, Daniel Lezcano
- [https://www.spinics.net/lists/linux-pm/msg28339.html]Re: [PATCH 1/3] cpuidle/powernv: cpuidle backend driver for powernv, Deepthi Dharwar
# [https://www.spinics.net/lists/linux-pm/msg28392.html]Re: [PATCH 1/3] cpuidle/powernv: cpuidle backend driver for powernv, Preeti U Murthy
+ [https://www.spinics.net/lists/linux-pm/msg28322.html][PATCH 2/3] cpuidle/powernv: Enable idle powernv cpu to call into the cpuidle framework., Deepthi Dharwar
o [https://www.spinics.net/lists/linux-pm/msg28330.html]Re: [PATCH 2/3] cpuidle/powernv: Enable idle powernv cpu to call into the cpuidle framework., Daniel Lezcano
# [https://www.spinics.net/lists/linux-pm/msg28334.html]Re: [PATCH 2/3] cpuidle/powernv: Enable idle powernv cpu to call into the cpuidle framework., Deepthi Dharwar
@ [https://www.spinics.net/lists/linux-pm/msg28336.html]Re: [PATCH 2/3] cpuidle/powernv: Enable idle powernv cpu to call into the cpuidle framework., Daniel Lezcano
- [https://www.spinics.net/lists/linux-pm/msg28338.html]Re: [PATCH 2/3] cpuidle/powernv: Enable idle powernv cpu to call into the cpuidle framework., Deepthi Dharwar
+ [https://www.spinics.net/lists/linux-pm/msg28324.html][PATCH 3/3] cpuidle/powernv: Support smt-snooze-delay parameter in powernv idle., Deepthi Dharwar
+ [https://www.spinics.net/lists/linux-pm/msg28312.html][PATCH 1/5] cpupower: Make idlestate usage unsigned, Thomas Renninger
+ [https://www.spinics.net/lists/linux-pm/msg28311.html][PATCH 3/5] cpupower: Introduce cpupower idle-set subcommand and C-state enabling/disabling, Thomas Renninger
+ [https://www.spinics.net/lists/linux-pm/msg28313.html][PATCH 2/5] cpupower: Implement disabling of cstate interface, Thomas Renninger
+ [https://www.spinics.net/lists/linux-pm/msg28314.html][PATCH 5/5] cpupower: Add Haswell family 0x45 specific idle monitor to show PC8, 9, 10 states, Thomas Renninger
+ [https://www.spinics.net/lists/linux-pm/msg28315.html][PATCH 4/5] cpupower: Haswell also supports the C-states introduced with SandyBridge, Thomas Renninger
* [https://www.spinics.net/lists/linux-pm/msg28300.html][PATCH 1/7] cpuidle: remove governor module format, Daniel Lezcano
+ [https://www.spinics.net/lists/linux-pm/msg28301.html][PATCH 2/7] cpuidle: check cpuidle_enable_device succeed, Daniel Lezcano
+ [https://www.spinics.net/lists/linux-pm/msg28302.html][PATCH 3/7] Fix indentation and conform to Coding Style, Daniel Lezcano
+ [https://www.spinics.net/lists/linux-pm/msg28303.html][PATCH 4/7] cpuidle: make sysfs code more modular, Daniel Lezcano
+ [https://www.spinics.net/lists/linux-pm/msg28304.html][PATCH 5/7] cpuidle: encapsulate code in __cpuidle_unregister_device, Daniel Lezcano
+ [https://www.spinics.net/lists/linux-pm/msg28305.html][PATCH 6/7] cpuidle: add a cpuidle_device init function, Daniel Lezcano
+ [https://www.spinics.net/lists/linux-pm/msg28306.html][PATCH 7/7] cpuidle: check the device not already registered, Daniel Lezcano
+ [https://www.spinics.net/lists/linux-pm/msg28292.html][PATCH 4/5] cpupower: Haswell also supports the C-states introduced with SandyBridge, Thomas Renninger
+ [https://www.spinics.net/lists/linux-pm/msg28293.html][PATCH 5/5] cpupower: Add Haswell family 0x45 specific idle monitor to show PC8, 9, 10 states, Thomas Renninger
+ [https://www.spinics.net/lists/linux-pm/msg28294.html][PATCH 2/5] cpupower: Implement disabling of cstate interface, Thomas Renninger
+ [https://www.spinics.net/lists/linux-pm/msg28296.html][PATCH 1/5] cpupower: Make idlestate usage unsigned, Thomas Renninger
+ [https://www.spinics.net/lists/linux-pm/msg28297.html][PATCH 3/5] cpupower: Introduce cpupower idle-set subcommand and C-state enabling/disabling, Thomas Renninger
* [https://www.spinics.net/lists/linux-pm/msg28289.html][PATCH 1/2] x86/acpi/sleep: Provide registration for acpi_suspend_lowlevel., Ben Guthro
* [https://www.spinics.net/lists/linux-pm/msg28268.html]Re: [RFC PATCH] kbuild: Build linux-tools package with 'make deb-pkg', Sedat Dilek
+ [https://www.spinics.net/lists/linux-pm/msg28269.html]Re: [RFC PATCH] kbuild: Build linux-tools package with 'make deb-pkg', Joerg Roedel
* [https://www.spinics.net/lists/linux-pm/msg28258.html][PATCH] cpuidle: don't wakeup processor when set a longer latency, Lianwei Wang
+ [https://www.spinics.net/lists/linux-pm/msg28259.html]Re: [PATCH] cpuidle: don't wakeup processor when set a longer latency, Daniel Lezcano
o [https://www.spinics.net/lists/linux-pm/msg28260.html]Re: [PATCH] cpuidle: don't wakeup processor when set a longer latency, Lianwei Wang
# [https://www.spinics.net/lists/linux-pm/msg28261.html]Re: [PATCH] cpuidle: don't wakeup processor when set a longer latency, Daniel Lezcano
@ [https://www.spinics.net/lists/linux-pm/msg28262.html]Re: [PATCH] cpuidle: don't wakeup processor when set a longer latency, Lianwei Wang
- [https://www.spinics.net/lists/linux-pm/msg28263.html]Re: [PATCH] cpuidle: don't wakeup processor when set a longer latency, Lianwei Wang
- [https://www.spinics.net/lists/linux-pm/msg28264.html]Re: [PATCH] cpuidle: don't wakeup processor when set a longer latency, Srivatsa S. Bhat
= [https://www.spinics.net/lists/linux-pm/msg28265.html]Re: [PATCH] cpuidle: don't wakeup processor when set a longer latency, Daniel Lezcano
* [https://www.spinics.net/lists/linux-pm/msg28266.html]Re: [PATCH] cpuidle: don't wakeup processor when set a longer latency, Srivatsa S. Bhat
* [https://www.spinics.net/lists/linux-pm/msg28232.html][PATCH] irqchip: irqc: Add runtime PM support, Simon Horman
+ [https://www.spinics.net/lists/linux-pm/msg28235.html]Re: [PATCH] irqchip: irqc: Add runtime PM support, Simon Horman
o [https://www.spinics.net/lists/linux-pm/msg28225.html]Re: [PATCH] irqchip: irqc: Add runtime PM support, Magnus Damm
# [https://www.spinics.net/lists/linux-pm/msg28238.html]Re: [PATCH] irqchip: irqc: Add runtime PM support, Simon Horman
o [https://www.spinics.net/lists/linux-pm/msg28236.html]Re: [PATCH] irqchip: irqc: Add runtime PM support, Kuninori Morimoto
# [https://www.spinics.net/lists/linux-pm/msg28237.html]Re: [PATCH] irqchip: irqc: Add runtime PM support, Simon Horman
* [https://www.spinics.net/lists/linux-pm/msg28223.html]Re: [PATCH] libata-acpi.c: fix copy and paste mistake in ata_acpi_register_power_resource, Sedat Dilek
* [https://www.spinics.net/lists/linux-pm/msg28166.html]Re: [PATCH] cpuidle: fix new C-states not functional after AC disconnect, Sedat Dilek
+ [https://www.spinics.net/lists/linux-pm/msg28167.html]Re: [PATCH] cpuidle: fix new C-states not functional after AC disconnect, Sedat Dilek
o [https://www.spinics.net/lists/linux-pm/msg28146.html]Re: [PATCH] cpuidle: fix new C-states not functional after AC disconnect, Daniel Lezcano
# [https://www.spinics.net/lists/linux-pm/msg28168.html]Re: [PATCH] cpuidle: fix new C-states not functional after AC disconnect, Sedat Dilek
# [https://www.spinics.net/lists/linux-pm/msg28202.html]Re: [PATCH] cpuidle: fix new C-states not functional after AC disconnect, Thomas Schlichter
* [https://www.spinics.net/lists/linux-pm/msg28142.html][PATCH] cpufreq: exynos: Show list of available frequencies, Inderpal Singh
+ [https://www.spinics.net/lists/linux-pm/msg28143.html]Re: [PATCH] cpufreq: exynos: Show list of available frequencies, Inderpal Singh
+ [https://www.spinics.net/lists/linux-pm/msg28145.html]Re: [PATCH] cpufreq: exynos: Show list of available frequencies, amit kachhap
o [https://www.spinics.net/lists/linux-pm/msg28154.html]Re: [PATCH] cpufreq: exynos: Show list of available frequencies, Kukjin Kim
* [https://www.spinics.net/lists/linux-pm/msg28138.html][PATCH] cpufreq: exynos: Add the missing cpufreq_cpu_put function, Amit Daniel Kachhap
* [https://www.spinics.net/lists/linux-pm/msg28136.html][RFC PATCH 1/1] thermal: introduce thermal_zone_lookup_temperature helper function, Eduardo Valentin
* [https://www.spinics.net/lists/linux-pm/msg28127.html][PATCH RESEND 0/4] thermal sys: couple of fixes and cleanups, Eduardo Valentin
+ [https://www.spinics.net/lists/linux-pm/msg28128.html][PATCH RESEND 1/4] thermal: Use thermal zone device id in netlink messages, Eduardo Valentin
o [https://www.spinics.net/lists/linux-pm/msg28132.html]Re: [PATCH RESEND 1/4] thermal: Use thermal zone device id in netlink messages, R, Durgadoss
# [https://www.spinics.net/lists/linux-pm/msg28137.html]Re: [PATCH RESEND 1/4] thermal: Use thermal zone device id in netlink messages, Eduardo Valentin
o [https://www.spinics.net/lists/linux-pm/msg28147.html]Re: [PATCH RESEND 1/4] thermal: Use thermal zone device id in netlink messages, Zhang Rui
+ [https://www.spinics.net/lists/linux-pm/msg28129.html][PATCH RESEND 2/4] thermal: remove unnecessary include, Eduardo Valentin
o [https://www.spinics.net/lists/linux-pm/msg28133.html]Re: [PATCH RESEND 2/4] thermal: remove unnecessary include, R, Durgadoss
o [https://www.spinics.net/lists/linux-pm/msg28148.html]Re: [PATCH RESEND 2/4] thermal: remove unnecessary include, Zhang Rui
+ [https://www.spinics.net/lists/linux-pm/msg28130.html][PATCH RESEND 3/4] thermal: cleanup: use dev_* helper functions, Eduardo Valentin
