* [https://www.spinics.net/lists/linux-arm/msg00066.html]Re: [PATCH] ARM: Mailing lists have moved, Paul Walmsley
+ [https://www.spinics.net/lists/linux-arm/msg00051.html][PATCH v2 05/11] OMAP3 clock: remove superfluous calls to omap2_init_clk_clkdm, Paul Walmsley
+ [https://www.spinics.net/lists/linux-arm/msg00052.html][PATCH v2 02/11] OMAP: SDRC: Add several new register definitions, Paul Walmsley
+ [https://www.spinics.net/lists/linux-arm/msg00053.html][PATCH v2 11/11] OMAP2/3/4 core: create omap_device layer, Paul Walmsley
+ [https://www.spinics.net/lists/linux-arm/msg00056.html][PATCH v2 10/11] OMAP: omap_hwmod: call omap_hwmod init at boot; create interconnects, Paul Walmsley
+ [https://www.spinics.net/lists/linux-arm/msg00054.html][PATCH v2 09/11] OMAP2/3/4: create omap_hwmod layer, Paul Walmsley
+ [https://www.spinics.net/lists/linux-arm/msg00055.html][PATCH v2 08/11] OMAP2/3 board-*.c files: read bootloader configuration earlier, Paul Walmsley
+ [https://www.spinics.net/lists/linux-arm/msg00057.html][PATCH v2 07/11] OMAP2/3/4 PRCM: add module IDLEST wait code, Paul Walmsley
+ [https://www.spinics.net/lists/linux-arm/msg00058.html][PATCH v2 06/11] OMAP2/3 PM: create the OMAP PM interface and add a default OMAP PM no-op layer, Paul Walmsley
* [https://www.spinics.net/lists/linux-arm/msg00020.html][PATCH 00/13] OMAP PM, clock, and SDRC updates for the 2.6.32 merge window, Paul Walmsley
+ [https://www.spinics.net/lists/linux-arm/msg00021.html][PATCH 03/13] [PATCH] OMAP3 clock: Fixed processing of bootarg 'mpurate', Paul Walmsley
+ [https://www.spinics.net/lists/linux-arm/msg00022.html][PATCH 02/13] OMAP: SDRC: Add several new register definitions, Paul Walmsley
+ [https://www.spinics.net/lists/linux-arm/msg00023.html][PATCH 05/13] OMAP clock: add omap_clk_get_by_name(), Paul Walmsley
+ [https://www.spinics.net/lists/linux-arm/msg00024.html][PATCH 07/13] OMAP3 clock: remove superfluous calls to omap2_init_clk_clkdm, Paul Walmsley
+ [https://www.spinics.net/lists/linux-arm/msg00025.html][PATCH 09/13] OMAP2/3/4 PRCM: add module IDLEST wait code, Paul Walmsley
+ [https://www.spinics.net/lists/linux-arm/msg00026.html][PATCH 04/13] OMAP2/3 clock: ensure each clock has a unique name, Paul Walmsley
o [https://www.spinics.net/lists/linux-arm/msg00039.html]Re: [PATCH 04/13] OMAP2/3 clock: ensure each clock has a unique name, Tony Lindgren
# [https://www.spinics.net/lists/linux-arm/msg00040.html]Re: [PATCH 04/13] OMAP2/3 clock: ensure each clock has a unique name, Paul Walmsley
@ [https://www.spinics.net/lists/linux-arm/msg00041.html]Re: [PATCH 04/13] OMAP2/3 clock: ensure each clock has a unique name, Russell King - ARM Linux
- [https://www.spinics.net/lists/linux-arm/msg00042.html]Re: [PATCH 04/13] OMAP2/3 clock: ensure each clock has a unique name, Paul Walmsley
= [https://www.spinics.net/lists/linux-arm/msg00043.html]Re: [PATCH 04/13] OMAP2/3 clock: ensure each clock has a unique name, Tony Lindgren
= [https://www.spinics.net/lists/linux-arm/msg00044.html]Re: [PATCH 04/13] OMAP2/3 clock: ensure each clock has a unique name, Russell King - ARM Linux
* [https://www.spinics.net/lists/linux-arm/msg00046.html]Re: [PATCH 04/13] OMAP2/3 clock: ensure each clock has a unique name, Paul Walmsley
+ [https://www.spinics.net/lists/linux-arm/msg00027.html][PATCH 08/13] OMAP2/3 PM: create the OMAP PM interface and add a default OMAP PM no-op layer, Paul Walmsley
+ [https://www.spinics.net/lists/linux-arm/msg00028.html][PATCH 12/13] OMAP: omap_hwmod: call omap_hwmod init at boot; create interconnects, Paul Walmsley
+ [https://www.spinics.net/lists/linux-arm/msg00029.html][PATCH 10/13] OMAP2/3 board-*.c files: read bootloader configuration earlier, Paul Walmsley
+ [https://www.spinics.net/lists/linux-arm/msg00030.html][PATCH 11/13] OMAP2/3/4: create omap_hwmod layer, Paul Walmsley
+ [https://www.spinics.net/lists/linux-arm/msg00031.html][PATCH 13/13] OMAP2/3/4 core: create omap_device layer, Paul Walmsley
+ [https://www.spinics.net/lists/linux-arm/msg00032.html][PATCH 01/13] [PATCH] OMAP: powerdomain: Fix overflow when doing powerdomain deps lookups., Paul Walmsley
+ [https://www.spinics.net/lists/linux-arm/msg00033.html][PATCH 06/13] OMAP clock: associate MPU clocks with the mpu_clkdm, Paul Walmsley
* [https://www.spinics.net/lists/linux-arm/msg00003.html][PATCH 00/10] OMAP PM debug infrastructure for 2.6.32, Kevin Hilman
+ [https://www.spinics.net/lists/linux-arm/msg00004.html][PATCH 01/10] OMAP: PM counter infrastructure., Kevin Hilman
o [https://www.spinics.net/lists/linux-arm/msg00005.html][PATCH 02/10] OMAP: PM: Hook into PM counters, Kevin Hilman
# [https://www.spinics.net/lists/linux-arm/msg00006.html][PATCH 03/10] OMAP: PM: Add closures to clkdm_for_each and pwrdm_for_each., Kevin Hilman
@ [https://www.spinics.net/lists/linux-arm/msg00007.html][PATCH 04/10] OMAP: PM: Add pm-debug counters, Kevin Hilman
- [https://www.spinics.net/lists/linux-arm/msg00008.html][PATCH 05/10] OMAP: PM debug: make powerdomains use PM-debug counters, Kevin Hilman
= [https://www.spinics.net/lists/linux-arm/msg00009.html][PATCH 06/10] OMAP: PM debug: Add PRCM register dump support, Kevin Hilman
* [https://www.spinics.net/lists/linux-arm/msg00010.html][PATCH 07/10] OMAP: PM: Add definitions for ETK pads and observability registers, Kevin Hilman
+ [https://www.spinics.net/lists/linux-arm/msg00011.html][PATCH 08/10] OMAP3: Debug observability and ETK padconf implementation, Kevin Hilman
o [https://www.spinics.net/lists/linux-arm/msg00012.html][PATCH 09/10] OMAP3: Add debug observablity (debobs) Kconfig item, Kevin Hilman
# [https://www.spinics.net/lists/linux-arm/msg00013.html][PATCH 10/10] OMAP: PM: Added suspend target state control to debugfs for OMAP3, Kevin Hilman
@ [https://www.spinics.net/lists/linux-arm/msg00015.html]RE: [PATCH 10/10] OMAP: PM: Added suspend target state control to debugfs for OMAP3, Aguirre Rodriguez, Sergio Alberto
- [https://www.spinics.net/lists/linux-arm/msg00017.html]Re: [PATCH 10/10] OMAP: PM: Added suspend target state control to debugfs for OMAP3, Kevin Hilman
@ [https://www.spinics.net/lists/linux-arm/msg00038.html]Re: [PATCH 10/10] OMAP: PM: Added suspend target state control to debugfs for OMAP3, Tony Lindgren
- [https://www.spinics.net/lists/linux-arm/msg00062.html]Re: [PATCH 10/10] OMAP: PM: Added suspend target state control to debugfs for OMAP3, Kevin Hilman
# [https://www.spinics.net/lists/linux-arm/msg00037.html]Re: [PATCH 09/10] OMAP3: Add debug observablity (debobs) Kconfig item, Tony Lindgren
o [https://www.spinics.net/lists/linux-arm/msg00036.html]Re: [PATCH 08/10] OMAP3: Debug observability and ETK padconf implementation, Tony Lindgren
+ [https://www.spinics.net/lists/linux-arm/msg00019.html]RE: [PATCH 07/10] OMAP: PM: Add definitions for ETK pads and observability registers, Gadiyar, Anand
o [https://www.spinics.net/lists/linux-arm/msg00059.html]Re: [PATCH 07/10] OMAP: PM: Add definitions for ETK pads and observability registers, Kevin Hilman
* [https://www.spinics.net/lists/linux-arm/msg00014.html]RE: [PATCH 06/10] OMAP: PM debug: Add PRCM register dump support, Aguirre Rodriguez, Sergio Alberto
+ [https://www.spinics.net/lists/linux-arm/msg00016.html]Re: [PATCH 06/10] OMAP: PM debug: Add PRCM register dump support, Kevin Hilman
o [https://www.spinics.net/lists/linux-arm/msg00018.html]Re: [PATCH 06/10] OMAP: PM debug: Add PRCM register dump support, Kevin Hilman
* [https://www.spinics.net/lists/linux-arm/msg00035.html]Re: [PATCH 06/10] OMAP: PM debug: Add PRCM register dump support, Tony Lindgren
